,Unnamed: 0,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm,PER,avg_points_pm,avg_rebounds_pm
64,10191,Tim Frazier,34,2013,Pennsylvania State University,35.17647058823528,0.11538461538461542,0.18060200668896326,0.02090301003344482,0.13127090301003352,0.0359531772575251,0.025919732441471572,0.10033444816053512,0.15217391304347833,0.07692307692307694,0.04431438127090302,0.0050167224080267594,0.07274247491638798,11.114285714285716,0.4247491638795988,0.1262541806020067
65,10273,Darrun Hilliard,35,2014,Villanova University,28.771428571428572,0.0903674280039722,0.21449851042701093,0.07845084409136048,0.08142999006951343,0.020854021847070508,0.015888778550148957,0.09235352532274084,0.07348560079443893,0.04170804369414103,0.06256206554121152,0.01191658391261172,0.07745779543197616,8.3,0.4975173783515393,0.1082423038728898
66,10303,Ben Bentil,35,2015,Providence College,34.22857142857143,0.16193656093489148,0.2395659432387312,0.04340567612687813,0.16193656093489148,0.045075125208681135,0.07846410684474124,0.1452420701168614,0.0333889816360601,0.05592654424040066,0.025041736227045083,0.030050083472454088,0.08096828046744575,-17.6,0.6160267111853088,0.22370617696160267
67,10313,Tyler Ulis,35,2015,University of Kentucky,36.8,0.1063664596273292,0.1940993788819876,0.042701863354037264,0.12965838509316768,0.021739130434782605,0.014751552795031053,0.06677018633540371,0.1909937888198758,0.05357142857142856,0.03959627329192545,0.003105590062111801,0.04968944099378881,13.0,0.47049689440993786,0.08152173913043477
68,10332,Georges Niang,35,2015,Iowa State University,33.2,0.1953528399311532,0.20223752151462995,0.04819277108433735,0.08261617900172118,0.0197934595524957,0.03958691910499138,0.14802065404475045,0.10068846815834767,0.0791738382099828,0.026678141135972454,0.0189328743545611,0.0955249569707401,0.1,0.6179001721170396,0.18760757314974183
69,10336,Jabari Parker,35,2013,Duke University,30.657142857142855,0.1845293569431501,0.2460391425908667,0.035414725069897485,0.1491146318732526,0.05032618825722274,0.09785647716682197,0.1873252562907736,0.038210624417520975,0.07548928238583412,0.03448275862068966,0.040074557315936635,0.07735321528424978,16.133333333333336,0.6244175209692452,0.28518173345759557
70,10339,Branden Dawson,35,2014,Michigan State University,30.142857142857142,0.1725118483412323,0.1497630331753555,0.0,0.04834123222748817,0.05023696682464457,0.09668246445497633,0.20473933649289106,0.05592417061611376,0.06350710900473935,0.03981042654028437,0.054976303317535564,0.06824644549763034,7.1,0.3933649289099527,0.3014218009478674
71,10379,T.J. Warren,35,2013,North Carolina State University,35.371428571428574,0.2512116316639741,0.2504038772213248,0.02504038772213247,0.12600969305331178,0.056542810985460414,0.0912762520193861,0.11066235864297254,0.03231017770597739,0.06704361873990307,0.05088852988691436,0.016962843295638123,0.07835218093699517,15.1,0.7035541195476573,0.20193861066235863
72,10385,Cameron Payne,35,2014,Murray State University,32.2,0.1428571428571428,0.259094942324756,0.07453416149068325,0.11801242236024845,0.031943212067435674,0.018633540372670804,0.095829636202307,0.18544809228039047,0.0771960958296362,0.0603371783496007,0.01508429458740018,0.06388642413487136,7.175,0.6273291925465837,0.1144631765749778
73,10390,Bryn Forbes,35,2015,Michigan State University,28.02857142857143,0.054026503567787966,0.18144750254842,0.11416921508664625,0.06422018348623854,0.012232415902140671,0.012232415902140671,0.06218144750254843,0.051987767584097865,0.03058103975535168,0.014271151885830788,0.0010193679918450561,0.05198776758409785,5.9,0.5147808358817532,0.0744138634046891
74,10485,Delon Wright,35,2014,University of Utah,33.285714285714285,0.11931330472103005,0.13648068669527902,0.022317596566523604,0.13133047210300428,0.025751072961373397,0.02918454935622318,0.11931330472103,0.15278969957081542,0.05836909871244634,0.06266094420600855,0.02918454935622317,0.042060085836909865,16.4,0.4369098712446352,0.1484978540772532
