,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm
2268,Jiday Ugbaja,6,2017,"California State University, Sacramento",8.0,0.08333333333333334,0.14583333333333334,0.020833333333333332,0.0,0.0,0.020833333333333336,0.16666666666666666,0.22916666666666666,0.10416666666666667,0.04166666666666667,0.0,0.16666666666666666
2269,Spencer Newman,6,2017,North Carolina State University,1.8333333333333333,0.0,0.27272727272727276,0.0,0.0,0.0,0.09090909090909093,0.27272727272727276,0.0,0.09090909090909093,0.0,0.0,0.09090909090909093
2270,Preston Purifoy,6,2013,University of Alabama at Birmingham,4.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.04166666666666667,0.0,0.041666666666666664,0.08333333333333334
2271,Mike Wells,6,2014,University at Albany,1.6666666666666667,0.09999999999999999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2272,Charlie Rose,6,2017,University of Iowa,2.3333333333333335,0.14285714285714288,0.21428571428571427,0.0,0.0,0.0,0.07142857142857144,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.0,0.0,0.07142857142857144
2273,Vicpatrick Harris,6,2017,University of Toledo,2.5,0.13333333333333336,0.13333333333333336,0.0,0.06666666666666668,0.06666666666666668,0.0,0.13333333333333336,0.2,0.0,0.0,0.0,0.13333333333333336
2274,Jackson Kane,6,2014,Bradley University,1.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0
2275,Aaron Thomas,6,2014,Florida State University,28.333333333333336,0.16470588235294115,0.22352941176470587,0.023529411764705882,0.12352941176470587,0.047058823529411764,0.0,0.12352941176470587,0.07647058823529411,0.09411764705882353,0.04705882352941176,0.0,0.08235294117647059
2276,Kaleb Warner,6,2014,University of the Pacific,4.166666666666667,0.08,0.12,0.0,0.0,0.0,0.12,0.08,0.27999999999999997,0.0,0.0,0.0,0.0
2277,Rashad Whack,6,2013,Mount St. Mary's University,30.666666666666668,0.06521739130434782,0.3152173913043478,0.043478260869565216,0.11413043478260869,0.02717391304347826,0.03804347826086956,0.08152173913043478,0.03804347826086957,0.05434782608695652,0.02717391304347826,0.005434782608695653,0.07065217391304349
2278,Justice Montgomery,6,2014,American University,2.5,0.0,0.0,0.0,0.0,0.06666666666666668,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.2
2279,Tim Brennan,6,2014,Western Michigan University,3.5,0.0,0.1904761904761905,0.0,0.09523809523809523,0.14285714285714285,0.04761904761904762,0.09523809523809525,0.04761904761904762,0.04761904761904762,0.1904761904761905,0.0,0.14285714285714285
2280,Miles Washington,6,2016,Mississippi State University,2.166666666666667,0.07692307692307691,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923073
2281,Zaquavian Smith,6,2017,Nicholls State University,22.166666666666664,0.04511278195488722,0.25563909774436094,0.09022556390977444,0.060150375939849635,0.022556390977443615,0.030075187969924814,0.13533834586466167,0.02255639097744361,0.03759398496240602,0.03759398496240602,0.0,0.12030075187969926
2282,Terron Gilmore,6,2015,Murray State University,3.333333333333333,0.10000000000000002,0.05,0.0,0.0,0.05,0.05,0.15000000000000002,0.0,0.0,0.0,0.05000000000000001,0.4000000000000001
2283,Kevin Kerley,6,2017,Appalachian State University,3.3333333333333335,0.0,0.05,0.15,0.15,0.15,0.0,0.0,0.24999999999999997,0.1,0.049999999999999996,0.0,0.09999999999999999
2284,Travis Bader,6,2013,Oakland University,39.166666666666664,0.03829787234042553,0.2765957446808511,0.09787234042553193,0.09361702127659574,0.0,0.008510638297872342,0.07234042553191489,0.029787234042553196,0.05957446808510638,0.012765957446808512,0.0,0.0723404255319149
2285,Bass Ollie,6,2017,University of Detroit Mercy,4.0,0.04166666666666667,0.125,0.041666666666666664,0.08333333333333334,0.08333333333333334,0.0,0.16666666666666669,0.08333333333333334,0.04166666666666667,0.08333333333333334,0.0,0.0
2286,Herbert Graham,6,2014,"Indiana University-Purdue University, Fort Wayne",10.5,0.06349206349206349,0.15873015873015875,0.047619047619047616,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.22222222222222224,0.0,0.03174603174603175,0.06349206349206349,0.03174603174603175,0.15873015873015872
2287,Adam Kozinski,6,2017,Central Michigan University,1.3333333333333333,0.0,0.75,0.125,0.0,0.0,0.0,0.12500000000000003,0.0,0.0,0.0,0.0,0.125
2288,Britton Anderson,6,2017,Wake Forest University,1.3333333333333333,0.0,0.375,0.0,0.25,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.12500000000000003
2289,Xavier Smith,6,2017,Oregon State University,2.8333333333333335,0.1764705882352941,0.05882352941176471,0.0,0.0,0.0,0.0,0.0,0.05882352941176471,0.17647058823529416,0.05882352941176471,0.0,0.11764705882352942
2290,A.J. Astroth,6,2017,Hampton University,11.5,0.10144927536231883,0.14492753623188404,0.0,0.07246376811594202,0.014492753623188408,0.07246376811594202,0.23188405797101447,0.043478260869565216,0.043478260869565216,0.028985507246376815,0.043478260869565216,0.14492753623188406
2291,"Pat Swilling, Jr.",6,2013,University of Tulsa,24.333333333333332,0.03424657534246576,0.2534246575342466,0.11643835616438356,0.027397260273972608,0.020547945205479454,0.013698630136986304,0.07534246575342465,0.04794520547945206,0.06164383561643836,0.027397260273972608,0.006849315068493152,0.07534246575342467
